feed_type,breast_used,breast_left_time,breast_right_time,bottle_ml,start_time_label,end_time_label
Bottle Breast Milk,,0,0,44.3603,2018/06/26 09:02:54,
Bottle Breast Milk,,0,0,14.7868,2018/06/26 07:10:11,
,,0,0,0,2018/06/26 06:55:53,
Bottle Breast Milk,,0,0,73.9339,2018/06/26 06:48:30,
,,0,0,0,2018/06/26 04:00:49,
Bottle Breast Milk,,0,0,66.5405,2018/06/26 03:15:53,
,,0,0,0,2018/06/26 00:10:57,
Bottle Breast Milk,,0,0,51.7537,2018/06/26 00:42:34,
Bottle Breast Milk,,0,0,73.9339,2018/06/25 23:38:46,
,,0,0,0,2018/06/25 20:45:23,
Bottle Breast Milk,,0,0,29.5735,2018/06/25 16:02:20,
,,0,0,0,2018/06/25 19:30:25,
Bottle Breast Milk,,0,0,44.3603,2018/06/25 19:45:53,
Bottle Breast Milk,,0,0,73.9339,2018/06/25 18:30:15,
,,0,0,0,2018/06/25 17:30:39,
,,0,0,0,2018/06/25 14:40:37,
Bottle Breast Milk,,0,0,29.5735,2018/06/25 14:55:40,
Bottle Breast Milk,,0,0,29.5735,2018/06/25 14:15:43,
Bottle Breast Milk,,0,0,44.3603,2018/06/25 13:30:41,
,,0,0,0,2018/06/25 12:00:00,
,,0,0,0,2018/06/25 09:10:23,
Bottle Breast Milk,,0,0,29.5735,2018/06/25 08:26:38,
Bottle Breast Milk,,0,0,66.5405,2018/06/25 07:10:39,
,,0,0,0,2018/06/25 06:40:59,
,,0,0,0,2018/06/25 04:20:25,
Bottle Breast Milk,,0,0,73.9339,2018/06/25 03:15:48,
,,0,0,0,2018/06/25 00:00:25,
Bottle Breast Milk,,0,0,73.9339,2018/06/25 00:00:03,
Bottle Breast Milk,,0,0,59.1471,2018/06/24 21:00:18,
Bottle Breast Milk,,0,0,14.7868,2018/06/24 14:17:56,
,,0,0,0,2018/06/24 20:40:38,
,,0,0,0,2018/06/24 19:00:51,
Bottle Breast Milk,,0,0,59.1471,2018/06/24 19:45:57,
Bottle Breast Milk,,0,0,29.5735,2018/06/24 17:20:20,
,,0,0,0,2018/06/24 17:00:29,
Bottle Breast Milk,,0,0,59.1471,2018/06/24 15:00:58,
,,0,0,0,2018/06/24 14:20:31,
Bottle Breast Milk,,0,0,44.3603,2018/06/24 13:44:13,
Bottle Breast Milk,,0,0,22.1802,2018/06/24 13:12:44,
Bottle Breast Milk,,0,0,44.3603,2018/06/24 11:56:43,
,,0,0,0,2018/06/24 12:05:45,
Bottle Breast Milk,,0,0,51.7537,2018/06/24 10:19:57,
,,0,0,0,2018/06/24 09:45:17,
Bottle Breast Milk,,0,0,73.9339,2018/06/24 08:00:57,
,,0,0,0,2018/06/24 06:20:09,
Bottle Breast Milk,,0,0,59.1471,2018/06/24 05:50:36,
,,0,0,0,2018/06/24 04:00:19,
Bottle Breast Milk,,0,0,81.3273,2018/06/24 03:20:27,
,,0,0,0,2018/06/24 00:06:11,
Bottle Breast Milk,,0,0,14.7868,2018/06/23 23:43:58,
Bottle Breast Milk,,0,0,22.1802,2018/06/23 22:50:01,
